,Date,Future_Pred
0,2025-12-18,23224.296411062824
1,2025-12-19,23174.711369549936
2,2025-12-22,23004.587663901002
3,2025-12-23,22801.734973318235
4,2025-12-24,22583.54684316768
5,2025-12-25,22393.809899535587
6,2025-12-26,22191.00313362766
7,2025-12-29,22010.842335156016
8,2025-12-30,21826.00402350653
9,2025-12-31,21628.25747640009
10,2026-01-01,21451.561439507816
11,2026-01-02,21342.87984604913
12,2026-01-05,21229.3421434549
13,2026-01-06,21086.36672429016
14,2026-01-07,20979.283989881358
15,2026-01-08,20945.121134544283
16,2026-01-09,20902.278515663016
17,2026-01-12,20836.27965518061
18,2026-01-13,20749.46841242763
19,2026-01-14,20618.70385402788
20,2026-01-15,20510.636290480903
21,2026-01-16,20438.12463074106
22,2026-01-19,20397.34011765804
23,2026-01-20,20335.469375169316
24,2026-01-21,20240.70465910012
25,2026-01-22,20126.74683077683
26,2026-01-23,20079.755682935287
27,2026-01-26,20075.2414574902
28,2026-01-27,20056.47697553458
29,2026-01-28,19932.514371752357
